Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
Big Five Inventory-2-S,BFI-2-S,Christiane,05/06/2023 16:26:31,"Calvillo, D. P., Garcia, R. J. B., Bertrand, K., & Mayers, T. A. (2021). Personality factors and self-reported political news consumption predict susceptibility to political fake news.",Measure of personality factors,2021,https://doi.org/10.1016/j.paid.2021.110666,https://www.colby.edu/wp-content/uploads/2013/08/bfi2s-form.pdf," I am someone who... Disagree a little Neutral; no opinion 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. Agree a little Agree strongly 1. Tends to be quiet. 2. Is compassionate, has a soft heart. 3. Tends to be disorganized. 4. Worries a lot. 5. Is fascinated by art, music, or literature. 6. Is dominant, acts as a leader. 7. Is sometimes rude to others. 8. Has difficulty getting started on tasks. 9. Tends to feel depressed, blue. 10. Has little interest in abstract ideas. 11. Is full of energy. 12. Assumes the best about people. 13. Is reliable, can always be counted on. 14. Is emotionally stable, not easily upset. 15. Is original, comes up with new ideas. Is outgoing, sociable. Can be cold and uncaring. Keeps things neat and tidy. Is relaxed, handles stress well. Has few artistic interests. Prefers to have others take charge. Is respectful, treats others with respect. Is persistent, works until the task is finished. Feels secure, comfortable with self. Is complex, a deep thinker. Is less active than other people. Tends to find fault with others. Can be somewhat careless. Is temperamental, gets emotional easily. Has little creativity.",NA,30,US,en,Yes,No,No,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,Scale,NA,NA,NA,"Paper linked as source of scale is incorrect, but tracked down correct source",https://doi.org/10.1016/j.jrp.2017.02.004,NA,Yes,
Big Five Ten-Item Personality Inventory,BFI-TIPI,Christiane,19/07/2023 03:06:22,"Ahmed, S., & Tan, H. W. (2022). Personality and perspicacity: Role of personality traits and cognitive ability in political misinformation discernment and sharing behavior.",Very brief measure of the big five,2022,https://doi.org/10.1016/j.paid.2022.111747,https://doi.org/10.1016/S0092-6566(03)00046-1,"1. _____ Extraverted, enthusiastic. 2. _____ Critical, quarrelsome. 3. _____ Dependable, self-disciplined. 4. _____ Anxious, easily upset. 5. _____ Open to new experiences, complex. 6. _____ Reserved, quiet. 7. _____ Sympathetic, warm. 8. _____ Disorganized, careless. 9. _____ Calm, emotionally stable. 10. _____ Conventional, uncreative.",NA,10,US,en,Yes,No,No,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,,https://doi.org/10.1016/S0092-6566(03)00046-1,NA,Yes,
Bullshit Receptivity Scale,BSR,April Hwang,13/07/2023 16:53:54,"Littrell, S., Risko, E. F., & Fugelsang, J. A. (2021). ‘You can’t bullshit a bullshitter’ (or can you?): Bullshitting frequency predicts receptivity to various types of misleading information. British Journal of Social Psychology, 60(4), 1484-1505. https://doi.org/10.1111/bjso.12447","Evaluate the profundity of 10 randomly generated, yet grammatically correct, sentences that were constructed from abstract pseudo-profound buzzwords (e.g., ‘We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself’). Additionally, participants rated 10 items that represent intentionally profound/motivational quotes (e.g., ‘A river cuts through a rock, not because of its power but its persistence’)",2021,https://doi.org/10.1111/bjso.12447,https://osf.io/9j3vb,"1.Hidden meaning transforms unparalleled abstract beauty.2.Good health imparts reality to subtle creativity.3.Wholeness quiets infinite phenomena.4.The future explains irrational facts.5.Imagination is inside exponential space time events.6.We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.7.Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.8.Consciousness is the growth of coherence, and of us.9.We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.10.Today, science tells us that the essence of nature is joy.",NA,10,US; CA,EN,Yes,No,No,Yes,NA,No,Yes,No,No,No,No,Text,Lab,NoSource,Message,NoPlatform,Scale,DiscTechnique,NA,,Would be great to get a second opinion on if skill - technique recognition would best the best categorization for this measure. Reasoning for this choice is that using pseudoscientific language is a deception technique which audience needs to recognize in order to discern the profundity of the statement.,http://journal.sjdm.org/15/15923a/jdm15923a.pdf,Cognitive Reflection,Yes,
Claim Research task,NA,April Hwang,18/08/2023 17:39:46,"McGrew, S. (2020). Learning to evaluate: An intervention in civic online reasoning. Computers and Education, 145, 103711. https://doi.org/10.1016/j.compedu.2019.103711","Asked students to research a historical claim with contemporary political ramifications. On the pretest, students investigated the claim that Cesar Chavez, the co-founder of the United Farm Workers union, opposed Mexican immigration to the U.S. On the posttest, the claim under question was that Margaret Sanger, the founder of Planned Parenthood, supported euthanasia. Students had to judge the accuracy of the claim and explain why the sources they used to reach that judgment were strong. In the case of each claim, an online search does not return straightforward answers. Students needed to sift through websites in order to find sources and evidence they trusted. Successful responses used relevant evidence and provided a sound rationale for why the source it came from was reliable. ",2022,https://doi.org/10.1016/j.compedu.2019.103711,https://doi.org/10.1016/j.compedu.2019.103711,Q1: Do you believe [claim in question]? Explain using evidence from the websites you consulted. Q2: Explain why the sources you used are strong.,NA,2,US,EN,No,Yes,No,No,NA,Yes,Yes,No,No,No,No,Text,Other,NoSource,Message,NoPlatform,Other,MediaLiteracy,NA,,Stimuli origin not specified; response option - binary and open-ended,NA,Cognitive Reflection,Yes,
Cognitive Flexibility,IH,Martina,05/06/2023 07:34:08,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Intellectual Humility,2022,https://www.sciencedirect.com/science/article/pii/S0092656622000332?via%3Dihub,https://osf.io/49jtw/?view_only=43331a96a86f4871bdc256b8fa4ce765,NA,NA,6;22;10;30;26;6;15;15;7;7,US,EN,Yes,No,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Mixed,NA,Mixed,Mixed,Mixed,Scale,MetaCognitive,NewsConsumption,ThinkingStyle,,"https://www.sciencedirect.com/science/article/pii/S0092656622000332?via%3Dihub#b0175, Krumrei-Mancuso & Rouse, 2016",Intellectual Humility,Yes,
Cognitive Reflection,CRT,Martina,05/06/2023 07:21:11,"Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking—Pennycook—2020—Journal of Personality—Wiley Online Library. (n.d.). Retrieved June 4, 2023, from https://onlinelibrary.wiley.com/doi/10.1111/jopy.12476",Cognitive Reflection Test,2019,https://onlinelibrary.wiley.com/doi/10.1111/jopy.12476,https://onlinelibrary.wiley.com/doi/full/10.1111/jopy.12476?saml_referrer#jopy12476-bib-0055  https://onlinelibrary.wiley.com/doi/full/10.1111/jopy.12476?saml_referrer#jopy12476-bib-0049,"Fake news (perceived accuracy), Cognitive Reflection Test, Bullshit Receptivity, Overclaiming",NA,1; 7+10+15.    2;7+10+20,NA,NA,Yes,No,Yes,Yes,NA,NA,Yes,Yes,No,Yes,Yes,Text,NA,NA,Mixed,Facebook,Binary,MetaCognitive,NewsConsumption,ThinkingStyle,,https://onlinelibrary.wiley.com/doi/full/10.1111/jopy.12476?saml_referrer#jopy12476-bib-0028,Cognitive Reflection,Yes,
Cognitive Reflection,GSS2,Martina,05/06/2023 08:28:18,"Liebman, J. I., McKinley-Pace, M. J., Leonard, A. M., Sheesley, L. A., Gallant, C. L., Renkey, M. E., & Lehman, E. B. (2002). Cognitive and psychosocial correlates of adults’ eyewitness accuracy and suggestibility. Personality and Individual Differences, 33(1), 49–66. https://doi.org/10.1016/S0191-8869(01)00135-0",Gudjonsson Suggestibility Scale 2,2002,https://linkinghub.elsevier.com/retrieve/pii/S0191886901001350,NA,NA,NA,20,NA,NA,Yes,No,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Text,NA,NA,NA,NA,Scale,Belief,NewsConsumption,Identity,,https://www.sciencedirect.com/science/article/pii/S0191886901001350?via%3Dihub#BIB15,Cognitive Reflection,Yes,
Cognitive Reflection,CRT,Martina,06/06/2023 03:40:36,"Preston, S., Anderson, A., Robertson, D. J., Shephard, M. P., & Huhe, N. (2021). Detecting fake news on Facebook: The role of emotional intelligence. PLOS ONE, 16(3), e0246757. https://doi.org/10.1371/journal.pone.0246757",Fake News Detection Task through emotional intelligence,2021,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246757,https://ipip.ori.org/,NA,NA,29,UK,NA,NA,No,No,Yes,NA,Yes,Yes,Yes,No,Yes,NA,Text,NA,Mixed,Post_Article,Facebook,Scale,MetaCognitive,NewsConsumption,ThinkingStyle,,NA,Cognitive Reflection,Yes,
Cognitive Reflection ,CRT,Martina,04/06/2023 08:29:28,"Aging in an “infodemic”: The role of analytical reasoning, affect, and news consumption frequency on news veracity detection. (n.d.). Retrieved June 4, 2023, from https://psycnet.apa.org/fulltext/2022-58029-001.html",veracity discernment task,2022,https://psycnet.apa.org/fulltext/2022-58029-001.html,N/A,N/A,NA,3,US,EN,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Text,Mixed,NA,Post_Article,NA,Binary,MetaCognitive,NewsConsumption,ThinkingStyle,,https://psycnet.apa.org/doi/10.1257/089533005775196732,Cognitive Reflection,Yes,
Cognitive Reflection / Analytical Thinking,CRT,Martina,06/06/2023 03:09:40,"Beyond “fake news”: Analytic thinking and the detection of false and hyperpartisan news headlines | Judgment and Decision Making | Cambridge Core. (n.d.). Retrieved June 5, 2023, from https://www.cambridge.org/core/journals/judgment-and-decision-making/article/beyond-fake-news-analytic-thinking-and-the-detection-of-false-and-hyperpartisan-news-headlines/AF9708DB3A92FCA2EA70D5057742C285",Cognitive Reflection Test,2023,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/beyond-fake-news-analytic-thinking-and-the-detection-of-false-and-hyperpartisan-news-headlines/AF9708DB3A92FCA2EA70D5057742C285,NA,NA,NA,20,US,EN,Yes,No,No,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Text,Mixed,NA,News_Headline,Facebook,Scale,MetaCognitive,Sharing,ThinkingStyle,,"https://www.cambridge.org/core/journals/judgment-and-decision-making/article/beyond-fake-news-analytic-thinking-and-the-detection-of-false-and-hyperpartisan-news-headlines/AF9708DB3A92FCA2EA70D5057742C285#rf54, https://www.cambridge.org/core/journals/judgment-and-decision-making/article/beyond-fake-news-analytic-thinking-and-the-detection-of-false-and-hyperpartisan-news-headlines/AF9708DB3A92FCA2EA70D5057742C285#rf59",Cognitive Reflection,Yes,
Cognitive Reflection Test,CRT,Christiane,10/05/2023 20:51:32,"Pennycook, G., & Rand, D. G. (2020). Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking. Journal of Personality, 88(2), 185–200. https://doi.org/10.1111/jopy.12476","Task intended to measure degree of deliberate, analytic thinking (compared to quick and intuitive). In this study, the CRT administered was a mashup of two different types; one numeric, one non-numeric.",2019,https://doi.org/10.1111/jopy.12476,Numeric CRT: https://www.proquest.com/docview/212071747?pq-origsite=summon&accountid=14656 (Figure 1) ; Non-numeric CRT: https://www.proquest.com/docview/1762586749?accountid=14656&forcedol=true&pq-origsite=summon  ,"Numeric:  A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost? If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? Non-Numeric: If you’re running a race and you pass the person in second place, what place are you in? (intuitive answer: first; correct answer: second); A farmer had 15 sheep and all but 8 died. How many are left? (intuitive answer: 7; correct answer: 8); Emily’s father has three daughters. The first two are named April and May. What is the third daugh- ter’s name? (intuitive answer: June; correct answer: Emily)3 Howmanycubicfeetofdirtarethereinaholethatis3’ deep x 3’ wide x 3’ long? (intuitive answer: 27; correct answer: none)",NA,7,NA,en,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,ThinkingStyle,,,,,
Cognitive Reflection Test,CRT,Christiane,04/06/2023 14:01:00,"Kantorowicz-Reznichenko, E., Folmer, C. R., & Kantorowicz, J. (2022). Don’t believe it! A global perspective on cognitive reflection and conspiracy theories about COVID-19 pandemic. Personality and Individual Differences, 194, 111666. https://doi.org/10.1016/j.paid.2022.111666",Three questions targeting intuitive vs. analytical thinking styles,2022,https://doi.org/10.1016/j.paid.2022.111666,"(Word Document, Variable 1) https://ars.els-cdn.com/content/image/1-s2.0-S0191886922001702-mmc1.docx ","A postcard and a pen cost 150 cents in total. The postcard costs 100 cents more than the pen. How many cents does the pen cost? If it takes 3 nurses 3 minutes to measure the blood pressure of 3 patients, how long would it take 300 nurses to measure the blood pressure of 300 patients? Sally is making some tea. Every hour, the concentration of the tea doubles. If it takes 8 hours for the tea to be ready, how many hours would it take for the tea to reach half of the final con-centration?",NA,3,AR; AU; AT; BE; BG; BR; CA; CH; CN; CO; DE; DK; ES; FI; FR; GB; GR; HR; HU; IN; IE; IQ; IL; IT; JP; KR; LV; MA; MX; NG; NL; NO; NZ; PH; PL; RO; RU; SG; RS; SK; SE; TR; TW; UK; US,NA,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,ThinkingStyle,"No study 1 vs. 2 vs. 3, etc., just one study with a lot of countries; Most countries used the same, English version of the survey, but some translated - unclear which.",https://doi.org/10.1257/089533005775196732,Cognitive Reflection,Yes,
Cognitive Reflection Test,CRT,Christiane,05/06/2023 12:30:26,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention. Psychological Science, 31(7), 770–780. https://doi.org/10.1177/0956797620939054","Measure of participants general background knowledge of scientific issues. In this paper: 6-item version, original 3 + 3 non-numeric ones validated in previous research.",2020,https://doi.org/10.1177/0956797620939054,(Starting on page 136) https://osf.io/2uyd3,"The ages of Mark and Adam add up to 28 years total. Mark is 20 years older than Adam. How many years old is Adam? If it takes 10 seconds for 10 printers to print out 10 pages of paper, how many seconds will it take 50 printers to print out 50 pages of paper? On a loaf of bread, there is a patch of mold. Every day, the patch doubles in size. If it takes 40 days for the patch to cover the entire loaf of bread, how many days would it take for the patch to cover half of the loaf of bread? If you’re running a race and you pass the person in second place, what place are you in? A farmer had 15 sheep and all but 8 died. How many are left? Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name?",NA,6,US,en,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,ThinkingStyle,,https://doi.org/10.1257/089533005775196732 ; https://doi.org/10.3758/s13421-011-0104-1,Cognitive Reflection,Yes,
Cognitive Reflection Test,CRT,Christiane,05/06/2023 13:46:05,"Bago, B., Rand, D. G., & Pennycook, G. (2020). Fake news, fast and slow: Deliberation reduces belief in false (but not true) news headlines. Journal of Experimental Psychology. General, 149(8), 1608-1613. https://doi.org/10.1037/xge0000729","Measure of participants general background knowledge of scientific issues. In this paper: 7-item version, original 3 + 4 non-numeric ones validated in previous research.",2020,https://doi.org/10.1037/xge0000729,https://psycnet.apa.org/doi/10.1037/a0025391 ; https://www.proquest.com/docview/1762586749/fulltextPDF/ADC260BDADD6408BPQ/1?accountid=14656," The ages of Mark and Adam add up to 28 years total. Mark is 20 years older than Adam. How many years old is Adam? If it takes 10 seconds for 10 printers to print out 10 pages of paper, how many seconds will it take 50 printers to print out 50 pages of paper? On a loaf of bread, there is a patch of mold. Every day, the patch doubles in size. If it takes 40 days for the patch to cover the entire loaf of bread, how many days would it take for the patch to cover half of the loaf of bread?  If you’re running a race and you pass the person in second place, what place are you in? (intuitive answer: first; correct answer: second) A farmer had 15 sheep and all but 8 died. How many are left? (intuitive answer: 7; correct answer: 8) Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name? (intuitive answer: June; correct answer: Emily)  How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long? (intuitive answer: 27; correct answer: none)",NA,7,NA,en,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,ThinkingStyle,,https://doi.org/10.1257/089533005775196732 ; https://www.proquest.com/scholarly-journals/investigating-alternate-form-cognitive-reflection/docview/1762586749/se-2,Cognitive Reflection,Yes,
Cognitive Reflection Test,CRT,Christiane,05/06/2023 15:15:42,"Ali, A., & Qazi, I. A. (2022). Cognitive reflection is associated with greater truth discernment for COVID-19 headlines, less trust but greater use of formal information sources, and greater willingness to pay for masks among social media users in Pakistan. Harvard Kennedy School Misinformation Review.",Measuring intuitive vs. analytical thinking; this paper used only non-numerical questions,2022,https://doi.org/10.37016/mr-2020-101,"Under ""Methods"": https://misinforeview.hks.harvard.edu/article/cognitive-reflection-is-associated-with-greater-truth-discernment-for-covid-19-headlines-less-trust-but-greater-use-of-formal-information-sources-and-greater-willingness-to-pay-for-masks-among-socia/","“If you were running a race, and you passed the person in second place, what place would you be in now?”. The correct answer is “second” whereas the intuitive answer is “first.”  “Fatima’s father has 4 daughters but no sons—Tina, Mina, Rina. What is the fourth daughter’s name?”15The correct answer is “Fatima” whereas the intuitive answer could be any name ending with the “ina” sound (e.g., Bina, Sina).",NA,2,PK,ur,Yes,Yes,No,No,NA,NA,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,ThinkingStyle,,https://doi.org/10.1002/bdm.2213,Cognitive Reflection,Yes,
Cognitive Reflection Test,CRT,Christiane,05/06/2023 18:03:23,"Pennycook, G., & Rand, D. G. (2019). Fighting misinformation on social media using crowdsourced judgments of news source quality. Proceedings of the National Academy of Sciences - PNAS, 116(7), 2521-2526.",Three questions targeting intuitive vs. analytical thinking styles,2019,https://doi.org/10.1073/pnas.1806781116,"(Page 27, Figure 1) https://pubs.aeaweb.org/doi/pdfplus/10.1257/089533005775196732","(1) A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost? _____ cents (2) If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? _____ minutes (3) In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? _____ days",NA,3,US,en,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,ThinkingStyle,,https://doi.org/10.1257/089533005775196732,Cognitive Reflection,Yes,
Cognitive Reflection Test,CRT,Christiane,18/07/2023 22:19:58,"Pennycook, G., & Rand, D. G. (2019). Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning. Cognition, 188, 39-50",Measuring intuitive vs. analytical thinking,2019,https://doi.org/10.1016/j.cognition.2018.06.011,Original: https://www.aeaweb.org/articles?id=10.1257/089533005775196732 Non-numeric: https://www.cambridge.org/core/journals/judgment-and-decision-making/article/investigating-an-alternate-form-of-the-cognitive-reflection-test/42F4F70E998C63952D26DF2F4EBEA59E,"Original 3: 1. A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost? 2. If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? 3. In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake? Non-numeric 4: 1. If you’re running a race and you pass the person in second place, what place are you in? (intuitive answer: first; correct answer: second) 2. A farmer had 15 sheep and all but 8 died. How many are left? (intuitive answer: 7; correct answer: 8) 3. Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name? (intuitive answer: June; correct answer: Emily) 4. How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long? (intuitive answer: 27; correct answer: none)",NA,7,NA,en,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,,,Reworded original:  Non-numeric: https://doi.org/10.1017/S1930297500007622,Cognitive Reflection,Yes,
Cognitive Reflection Test (Non-Numeric),CRT-2,Christiane,19/07/2023 00:55:00,"Buchanan, T., & Kempley, J. (2021). Individual differences in sharing false political information on social media: Direct and indirect effects of cognitive-perceptual schizotypy and psychopathy.",4 questions measuring intuitive vs. analytical thinking,2021,https://doi.org/10.1016/j.paid.2021.111071,https://www.scopus.com/record/display.uri?eid=2-s2.0-84956941613&origin=inward&txGid=a39f8bd341bd0db54ffcfd0b5c5dd690,"1. If you’re running a race and you pass the person in second place, what place are you in? (intuitive answer: first; correct answer: second) 2. A farmer had 15 sheep and all but 8 died. How many are left? (intuitive answer: 7; correct answer: 8) 3. Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name? (intuitive answer: June; correct answer: Emily) 4. How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long? (intuitive answer: 27; correct answer: none)",NA,4,US,en,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Other,MetaCognitive,NA,,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84956941613&origin=inward&txGid=a39f8bd341bd0db54ffcfd0b5c5dd690,Cognitive Reflection,Yes,
Comprehensive Intellectual Humility Scale,CIHS,Christiane,10/05/2023 22:09:26,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Measures 4 different dimensions of intellectual humility.,2022,https://doi.org/10.1016/j.jrp.2022.104220,https://doi.org/10.1080/00223891.2015.1068174,"73. I feel small when others disagree with me on topics that are close to my heart. 50. When someone contradicts my most important beliefs, it feels like a personal attack. 49. When someone disagrees with ideas that are important to me, it feels as though I'm being attacked. 53. I tend to feel threatened when others disagree with me on topics that are close to my heart. 68. When someone disagrees with ideas that are important to me, it makes me feel insignificant. 28. I am open to revising my important beliefs in the face of new information. 26. I am willing to change my position on an important issue in the face of good reasons. 29. I am willing to change my opinions on the basis of compelling reason. 25. I have at times changed opinions that were important to me, when someone showed me I was wrong. 33. I'm willing to change my mind once it's made up about an important topic. 61. I can respect others, even if I disagree with them in important ways. 47. I can have great respect for someone, even when we don't see eye-to-eye on important topics. 39. Even when I disagree with others, I can recognize that they have sound points. 65. I am willing to hear others out, even if I disagree with them. 45. I welcome different ways of thinking about important topics. 34. I respect that there are ways of making important decisions that are different from the way I make decisions. 1. My ideas are usually better than other people's ideas. 3. For the most part, others have more to learn from me than I have to learn from them. 9. When I am really confident in a belief, there is very little chance that belief is wrong. 24. On important topics, I am not likely to be swayed by the viewpoints of others. 21. I'd rather rely on my own knowledge about most topics than turn to others for expertise. 41. Listening to perspectives of others seldom changes my important opinions.",NA,22,NA,en,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,MetaCognitive,NA,ThinkingStyle,,,,,
Continued influenced effect test,CIE test,April Hwang,07/07/2023 00:10:53,"Ecker, U. K. H., & Ang, L. C. (2019). Political attitudes and the processing of misinformation corrections. Political Psychology, 40(2), 241-260. https://doi.org/10.1111/pops.12494",Examined impact of misinformation retraction processing when the misinformation is a general assertion vs. specific singular episodic event,2019,https://doi.org/10.1111/pops.12494,https://doi.org/10.1111/pops.12494,Singular Scenario Test Questionnaire: Inference questions: 1. What do you think the misappropriated funds were used for? 2. Why might the public be surprised by the incident?  3. Who should the police question? 4. What should the prosecution do? 5. Who might be particularly upset about the incident? 6. What would be a good headline for a report about the events? 7. What should Liberal MPs do now? 8. What should happen to MP Bradley? 9.,"Who do you think took the money? 10. Do you think MP Bradley is guilty? (0-10; please circle one). Fact-recall questions: 1. What was the total amount of embezzled public funds reported? 2. What was the name of the institute that was being extended? 3. What probed the prosecutors on the investigation? 4. What is the name of the electorate that MP Bradley represents? 5. What kind of work was MP Bradley overseeing 6. The casino that was mentioned was in what city? 7. What holiday destination was mentioned? 8. What was the name of the Liberal backbencher mentioned? 9. Through what media channel did the prosecution make an announcement? 10. Who called for stricter guidelines regarding spending of taxpayer money? Retraction-awareness questions: 1. What was the content of the prosecution’s most recent announcement? 2. Was any of the information in the article subsequently corrected or altered? And if so, what was it? OR General Scenario Test Questionnaire: Inference questions. 1. What do you think the misappropriated funds were used for? 2.. Why might the public be surprised by the study?  3.. What might be the target of further investigations? 4. What conclusion can be drawn from the study? 5. Who might be particularly upset about the study? 6. What would be a good headline for a report about the study? 7. What should Liberal MPs do now? 8. What should the Labor party do now? 9. Who do you think took most of the money? 10. Do you think Labor politicians misappropriated most of the public funds? (0-10; please circle one) Fact-recall questions: 1. What was the total amount of embezzled public funds reported? 2. In what city was the press conference held? 3. What university is Prof Kingfield affiliated with? 4. What time span did the study cover? 5. How long did the study take to complete? 6. The casinos that were mentioned were in what city? 7. What holiday destination was mentioned? 8. What was the name of the Liberal backbencher mentioned? 9. Through what media channel did the lead author of the study make an announcement? 10. Who called for stricter guidelines regarding spending of taxpayer money? Retraction-awareness questions. 1. What was the content of the announcement by the study’s lead author? 2. Was any of the information in the article subsequently corrected or altered? And if so, what was it?",10; 10; 2,AU,EN,No,Yes,Yes,NA,NA,NA,Yes,No,No,No,No,Text,Lab,NoSource,Message,NoPlatform,Other,MetaCognitive,NA,,Measures opinion updating,NA,NA,Yes,
